[00:00] 大家好,投资不想随便抓,锁定价值古雷达。
[23:13] 虚无飘渺的
[23:14] 意向数
[23:15] 变成实施在在的
[23:16] 合约结构
[23:17] 与财务数字。
[23:18] 我跟你讲
[23:19] 虽然现在的
[23:20] 财报数字已经证明
[23:21] 节谱会
[23:22] 跟着人工智慧
[23:23] 就像指标
[23:24] 通通及格
[23:25] 才会决定
[23:26] 这家公司
[23:27] 到底值不值得
[23:28] 被法人圈
[23:29] 重新上修本一笔。
[23:30] 如果您认同
[23:31] 这种不遂市场
[23:32] 情绪机务
[23:33] 专注于产业数据
[23:34] 跟逻辑推演的
[23:35] 分析风格
[23:36] 请订阅价值股
[23:37] 雷达频道
[23:38] 开启小铃铛
[23:39] 按下喜欢跟分享
[23:41] 您的支持
[23:42] 是我们继续
[23:43] 挖掘财报细节
[23:44] 锁定优质
[23:45] 豪股的最大动力
[23:46] 我是价值股雷达
[23:48] 我们下集见
