[00:00] 大家好,投资不想随便钻,锁定价值股雷达。
[22:57] 也是个大问号。
[22:58] 第四格,
[22:59] 则是继续追踪
[23:00] 它们各项专案的
[23:01] 破关进度。
[23:02] 布兰福特专案的
[23:03] 追踪测试结果,
[23:04] 以及商转试程。
[23:05] 还有,
[23:06] 前面提到的
[23:07] 那个输电缺口,
[23:08] 到底补上了没有?
[23:09] 雷达跟你讲,
[23:10] 在这四盏灯
[23:11] 全部转成绿灯之前,
[23:12] 这档股票
[23:17] 看这种股票
[23:18] 就是要看它
[23:19] 实际做出什么成绩。
[23:20] 绝对不能只听
[23:21] 它在那边画大饼,
[23:22] 讲些好听的话。
[23:23] 如果您认同这种
[23:24] 完全不随市场情绪起伍,
[23:26] 专注于挖掘产业数据
[23:28] 以及逻辑推演的
[23:29] 硬核分析风格。
[23:30] 请记得订阅价值
[23:31] 古雷达频道,
[23:32] 并且开启小铃铛。
[23:33] 按下喜欢,
[23:34] 跟分享给身边
[23:35] 同样在
[23:36] 古海分渡的老战友。
[23:37] 您的支持
[23:38] 就是我们
[23:39] 继续为您
[23:40] 锁定优质好股票的
[23:41] 我是驾驶古雷达
[23:42] 我们下集节目再见。
