[00:00] 大家好,投资不想随便抓,锁定价值股雷达
[22:30] 所以我们对快乐的核心定调就是这样
[22:32] 2027块几年度
[22:33] 整个成长故事
[22:34] 到底能不能顺利对线
[22:36] 在现阶段可以说是高度而且单一的
[22:39] 重压在零C曝光模组这一条产品线上
[22:43] 一条腿就要成起公司
[22:44] 未来半遍天的业绩
[22:45] 这就是他们现在最强大的甜蜜点
[22:48] 同时也是他们最脆弱
[22:49] 一出事就会全面崩盘的盈余软肋
[22:53] 讲了这么多核心细节
[22:54] 最后雷达为大家整理出一张
[22:56] 最实用的季度对账清单
[22:58] 投资朋友千万不要只听
[22:59] 市场上那些好听的故事
[23:01] 请盯紧这五个指标
[23:02] 逐技帮虧头对账
[23:04] 第一点是第二级的
[23:05] 计争率
[23:06] 邪率
[23:07] 第二级财策给出的计争幅度
[23:09] 就是检验管理层所谓
[23:10] 下半年黄金拐点
[23:12] 是不是完整的第一个硬实力群号
[23:14] 第二点是
[23:15] 零非曝光模组的实质出货节奏
[23:18] 它是撑起高端价的最大工程
[23:20] 它未来的放量速度
[23:22] 直接决定了光通讯能否达到
[23:24] 超过6亿美元目标的大半结果
[23:26] 第三点是1.6滴传输规格
[23:28] 跟全新平台的最新开发时成
[23:30] 这个已经被高层亲口下修
[23:32] 出货预期的次世代高阶规格
[23:34] 后续进度到底是能回稳
[23:36] 还是会面临更严重的
[23:38] 再赌延期
[23:39] 再点你一定要给我盯的死死了
[23:41] 第四点是客户分散化的实质进度
[23:44] 新兴云敦服务商的营售占比
[23:46] 到底能不能使之王百分之二十靠近
[23:48] 而且原本排名第四大的本土客户
[23:50] 能不能继续延续拉货的动能
[23:53] 第五点是库存金额跟营业费用的转发效率
[23:56] 年增率高达55%的营业费用砸下去
[23:59] 加上持续在攀升的库存
[24:01] 到底能不能在下半年如期变成亮眼的营售灌起来
[24:04] 雷达最后要在这边
[24:06] 跟你讲一句最掏心掏肺的实话
[24:08] Cadle的超高估值
[24:10] 从来就不是建立在那些已经实现的满分数字上
[24:13] 而是建立在下半年
[24:14] 那根高玄在空中的驱棍球杆
[24:17] 这五个关键项目
[24:18] 就是你未来逐渐帮它对帐的医疗吧
[24:21] 如果那根驱棍球杆能顺利数起来
[24:23] 那未来当然是海阔天空
[24:25] 但万一到时候数不起来
[24:27] 眼前的这些漂亮数字
[24:28] 根本就撑不住现在的高估值
[24:31] 如果你认同这种不随市场情绪起伍
[24:33] 专注于产业数据跟逻辑推演的深度分析风格
[24:36] 请订阅价值股的一大频道
[24:38] 开启小铃的
[24:39] 按下喜欢跟分享
[24:41] 您的支持是我们继续挖掘的财报细节
[24:43] 帮大家锁定优质好股的最大动力
[24:46] 我是价值股雷达
[24:47] 我们下集见
